agency,business_title,posting_salary_range_from,posting_salary_range_to,posting_date,posting_until,posting_duration,actual_base_salary,actual_pay_basis,actual_regular_gross_paid,actual_total_ot_paid,actual_total_other_pay,actual_total_income_paid,match_ratio
DEPARTMENT OF CORRECTION,Central Cashier Supervisor,75971,82048,2025-07-29T00:00:00.000000,2025-08-28T00:00:00.000000,30,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
HRA/DEPT OF SOCIAL SERVICES,BUSINESS INTELLIGENCE SPECIALIST,81951,94244,2022-07-13T00:00:00.000000,2022-08-12T00:00:00.000000,30,48246.00,per Annum,49638.15,0.00,3279.90,52918.05,91.56626506024097
HRA/DEPT OF SOCIAL SERVICES,BUSINESS INTELLIGENCE SPECIALIST,81951,94244,2022-07-13T00:00:00.000000,2022-08-12T00:00:00.000000,30,48246.00,per Annum,49638.15,0.00,3279.90,52918.05,91.56626506024097
ADMIN FOR CHILDREN'S SVCS,Engagement Facilitator,58695,89699,2025-08-11T00:00:00.000000,2025-09-10T00:00:00.000000,30,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
DEPT OF HEALTH/MENTAL HYGIENE,"Early Childhood Education Consultant, Bureau of Childcare",74781,74781,2025-04-30T00:00:00.000000,2026-04-30T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,"Director, Stormwater Construction Permitting",81083,216270,2024-10-15T00:00:00.000000,2024-11-14T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HOUSING PRESERVATION & DVLPMNT,"Junior Attorney, Compliance & Enforcement",92446,92446,2025-05-08T00:00:00.000000,2025-09-05T00:00:00.000000,120,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
DEPT OF HEALTH/MENTAL HYGIENE,"Wellness Advocate, Bureau of Alcohol and Drug Use Prevention, Care and Treatment",60889,72298,2025-05-01T00:00:00.000000,2026-05-01T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,CONFERENCE OFFICER,59715,68672,2025-05-28T00:00:00.000000,2025-06-27T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF HEALTH/MENTAL HYGIENE,"Data Analyst, Bureau of Tuberculosis Control",72190,72190,2025-05-28T00:00:00.000000,2026-05-28T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
ADMIN FOR CHILDREN'S SVCS,EEO Officer,80931,208826,2024-02-08T00:00:00.000000,2024-03-09T00:00:00.000000,30,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
DEPT OF HEALTH/MENTAL HYGIENE,"Foodborne Illness Investigator, Bureau of Environmental Disease and Injury Prevention",70967,70967,2025-03-11T00:00:00.000000,2026-03-11T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,"Environmental, Health & Safety Specialist",61237,82302,2024-06-13T00:00:00.000000,2024-07-13T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,Supervisor Carpenter,422.87,422.87,2024-09-20T00:00:00.000000,2024-10-20T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,Assistant Counsel,70228,85269,2025-03-28T00:00:00.000000,2025-04-27T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,Program Manager Housing Services,84451,84451,2024-01-12T00:00:00.000000,2024-02-11T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
HRA/DEPT OF SOCIAL SERVICES,FRONT DOOR RECEPTIONIST,39763,45728,2024-01-19T00:00:00.000000,2024-02-18T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF ENVIRONMENT PROTECTION,Supervisor Watershed Maintenance,63150,79114,2023-04-23T00:00:00.000000,2023-05-23T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
BRONX DISTRICT ATTORNEY,Data Content Analyst LV1,51500,51500,2024-09-09T00:00:00.000000,2025-09-09T00:00:00.000000,365,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
CONSUMER AND WORKER PROTECTION,Business Analyst - 703842,66066,181807,2025-06-04T00:00:00.000000,2025-09-02T00:00:00.000000,90,193743.00,per Annum,0.00,0.00,13206.88,13206.88,88.23529411764706
DEPARTMENT OF PROBATION,Behavioral Health Team Director,77211,106022,2025-08-07T00:00:00.000000,2025-08-22T00:00:00.000000,15,55493.00,per Annum,55195.08,20561.26,2199.10,77955.44,85.18518518518519
DEPT OF HEALTH/MENTAL HYGIENE,"TB Program Management Officer, Bureau of Tuberculosis Control",112458,127000,2025-06-24T00:00:00.000000,2026-06-24T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF CITY PLANNING,Commission Secretary,66062,85000,2025-05-01T00:00:00.000000,2025-05-31T00:00:00.000000,30,95318.00,per Annum,229.95,0.00,0.00,229.95,87.09677419354838
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of School Health",24.1,27.71,2025-04-30T00:00:00.000000,2026-04-30T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
BRONX DISTRICT ATTORNEY,Reporter / Stenographer,88106,88106,2025-05-15T00:00:00.000000,2025-11-13T00:00:00.000000,182,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Chief Non-Profit Officer, Finance Administration and Planning",108918,140000,2025-04-03T00:00:00.000000,2026-04-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
CONFLICTS OF INTEREST BOARD,Education and Engagement Specialist,50000,60000,2025-06-23T00:00:00.000000,2025-07-23T00:00:00.000000,30,260006.00,per Annum,271093.38,0.00,3750.00,274843.38,87.09677419354838
DISTRICT ATTORNEY-MANHATTAN,Video Unit Manager,68213,293038,2025-07-08T00:00:00.000000,2025-08-07T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DISTRICT ATTORNEY-MANHATTAN,IT Procurement Buyer,54970,58076,2025-07-24T00:00:00.000000,2025-08-23T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,57866,70075,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPT OF ENVIRONMENT PROTECTION,Environmental Engineering Intern,51413,59125,2022-11-16T00:00:00.000000,2022-12-16T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
FINANCIAL INFO SVCS AGENCY,Lead PMO Analyst,75000,133088,2025-07-10T00:00:00.000000,2025-08-09T00:00:00.000000,30,104604.00,per Annum,2513.48,0.00,230.14,2743.62,85.24590163934427
DEPT OF ENVIRONMENT PROTECTION,"Chief of Capital Distribution and Drainage for Manhattan, Bronx and Staten Island",120000,171486,2025-03-13T00:00:00.000000,2025-04-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Assistant Project Engineer,56181,68034,2024-04-29T00:00:00.000000,2024-05-29T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Claim Specialist,55816,84219,2023-07-26T00:00:00.000000,2023-08-25T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,"Deputy Director, Capital Budget Management Office",106602,153362,2025-07-21T00:00:00.000000,2025-08-20T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
TAXI & LIMOUSINE COMMISSION,Technical Support College Aide,17,17,2025-06-26T00:00:00.000000,2025-07-26T00:00:00.000000,30,25.78,per Hour,39514.28,37.54,1850.72,41402.54,87.09677419354838
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Nurse, Bureau of School Health",88959,88959,2025-01-03T00:00:00.000000,2026-01-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HOUSING PRESERVATION & DVLPMNT,"Senior Project Manager, Moderate Rehabilitation and Stabilization Loan Programs for the Division of Preservation Finance",87500,87500,2025-07-18T00:00:00.000000,2025-08-17T00:00:00.000000,30,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
BRONX DISTRICT ATTORNEY,"Counsel, Investigations Division-Assistant District Attorney",231600,231600,2025-08-06T00:00:00.000000,2026-02-02T00:00:00.000000,180,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF ENVIRONMENT PROTECTION,Stormwater Inspector,56313,64760,2024-01-02T00:00:00.000000,2024-02-01T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,DEPUTY PORTFOLIO MANAGER,72038,192152,2024-03-18T00:00:00.000000,2024-04-17T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Epidemiologist/Investigator, Bureau of Communicable Diseases",84981,97728,2025-03-18T00:00:00.000000,2026-03-18T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Call Agent, Bureau of Customer Support",23.6141,28,2024-10-09T00:00:00.000000,2025-10-09T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HUMAN RIGHTS COMMISSION,Adjudications Counsel,80387,92446,2025-01-22T00:00:00.000000,2025-02-21T00:00:00.000000,30,197991.00,per Annum,165841.16,0.00,3000.00,168841.16,85.18518518518519
HRA/DEPT OF SOCIAL SERVICES,EXECUTIVE DIRECTOR. QUALITY ASSURANCE,140000,168095,2025-05-01T00:00:00.000000,2025-05-31T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Physician (Part-Time), Bureau of School Health",79.23,79.23,2024-02-01T00:00:00.000000,2024-03-02T00:00:00.000000,30,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,DEPUTY DIRECTOR,82194,94523,2025-03-20T00:00:00.000000,2025-04-19T00:00:00.000000,30,118369.00,per Annum,124230.16,0.00,3000.00,127230.16,100.0
NYC HOUSING AUTHORITY,"COMMUNITY COACH, CONEY ISLAND JOBS PLUS",33873,39691,2025-01-22T00:00:00.000000,2025-02-21T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPT OF ENVIRONMENT PROTECTION,IT Project Specialist,75000,86201,2025-03-13T00:00:00.000000,2025-04-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Executive Director of Special Programs,88936,223761,2023-03-19T00:00:00.000000,2023-04-18T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF PROBATION,Fleet Coordinator,46441,58020,2025-06-30T00:00:00.000000,2025-07-30T00:00:00.000000,30,55493.00,per Annum,55195.08,20561.26,2199.10,77955.44,85.18518518518519
HOUSING PRESERVATION & DVLPMNT,HQE Inspector for the Division of Budget and Program Operations,72298,72298,2025-06-26T00:00:00.000000,2025-08-25T00:00:00.000000,60,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
ADMIN FOR CHILDREN'S SVCS,Placement Specialist,60428,92558,2025-08-06T00:00:00.000000,2025-09-05T00:00:00.000000,30,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
DEPARTMENT OF CORRECTION,"Assistant Commissioner, Facility Operations",201587,201587,2023-01-05T00:00:00.000000,2023-02-04T00:00:00.000000,30,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
DEPARTMENT OF PROBATION,Senior Director of Special Programs and Initiatives,66066,181807,2025-04-28T00:00:00.000000,2025-05-28T00:00:00.000000,30,55493.00,per Annum,55195.08,20561.26,2199.10,77955.44,85.18518518518519
DISTRICT ATTORNEY-MANHATTAN,Supervisor of Records,63476,70000,2025-06-13T00:00:00.000000,2025-07-13T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPARTMENT OF TRANSPORTATION,Assistant Civil Engineer (Per Diem),35.1626,52.7614,2024-12-19T00:00:00.000000,2025-01-18T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
ADMIN FOR CHILDREN'S SVCS,EEO Officer,80931,208826,2024-02-08T00:00:00.000000,2024-03-09T00:00:00.000000,30,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
NYC HOUSING AUTHORITY,Project Manager,92097,97593,2025-07-30T00:00:00.000000,2025-08-19T00:00:00.000000,20,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
OFF OF PAYROLL ADMINISTRATION,Check Replacement Associate,59715,86804,2025-07-02T00:00:00.000000,2025-08-01T00:00:00.000000,30,64764.00,per Annum,66806.30,2097.29,3508.04,72411.62999999999,85.29411764705883
DEPARTMENT OF CORRECTION,Security Risk Investigator,58778,67595,2025-03-18T00:00:00.000000,2025-04-17T00:00:00.000000,30,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
HRA/DEPT OF SOCIAL SERVICES,ELIGIBILITY VERIFICATION SPECIALIST,53057,61015,2023-08-10T00:00:00.000000,2023-09-09T00:00:00.000000,30,49107.00,per Annum,47363.38,5216.56,4402.48,56982.42,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Compliance, Office of the Agency Chief Contracting Officer",67748,98000,2024-11-18T00:00:00.000000,2025-11-18T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Assistant Commissioner, Data Technology & Strategy",91090,200000,2025-03-14T00:00:00.000000,2026-03-14T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Community Mental Health Monitor, Bureau of Mental Health",62868,72298,2025-07-09T00:00:00.000000,2026-07-09T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
OFFICE OF THE MAYOR,Strategic Relationships Director,80000,85000,2025-05-13T00:00:00.000000,2025-06-12T00:00:00.000000,30,258750.00,per Annum,257361.22,0.00,0.00,257361.22,100.0
DEPARTMENT OF TRANSPORTATION,BOB- Civil Engineering Intern,56181,68034,2024-05-05T00:00:00.000000,2024-06-04T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
OFFICE OF MANAGEMENT & BUDGET,Assistant Analyst  Citywide Savings,58581,58581,2025-01-23T00:00:00.000000,2025-02-22T00:00:00.000000,30,128549.00,per Annum,133151.69,0.00,3000.00,136151.69,87.87878787878788
DEPT OF ENVIRONMENT PROTECTION,Section Chief of BEDC/NYPA Coordination,73068,195261,2025-03-21T00:00:00.000000,2025-04-20T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,"Section Chief, EHS Audits & Assessments",92301,121296,2024-05-30T00:00:00.000000,2024-06-29T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,HOUSING COURT APPLICATIONS PROCESSOR SUPERVISOR,58377,67134,2025-04-24T00:00:00.000000,2025-05-24T00:00:00.000000,30,68464.00,per Annum,2412.27,416.45,113.06,2941.7799999999997,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Office Assistant, Bureau of Operations",17,21.4,2025-04-24T00:00:00.000000,2026-04-24T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,98470,133496,2024-01-02T00:00:00.000000,2024-02-01T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,CASA DIRECTOR,66067,126115,2025-05-21T00:00:00.000000,2025-06-20T00:00:00.000000,30,114173.00,per Annum,113860.24,0.00,2187.20,116047.44,94.73684210526315
DEPT OF HEALTH/MENTAL HYGIENE,"HIV Planning Group Senior Project Officer, Bureau of Hepatitis, HIV, and STI",84981,97728,2025-04-03T00:00:00.000000,2026-04-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Assistant Commissioner, BMIRH",91090,202064,2025-02-10T00:00:00.000000,2026-02-10T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Inspector, Bureau of Environmental Disease and Injury Prevention",51460,51460,2024-09-09T00:00:00.000000,2025-09-09T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT. OF HOMELESS SERVICES,PEACE OFFICER,38064,54862,2025-04-02T00:00:00.000000,2025-05-02T00:00:00.000000,30,53264.00,per Annum,609.03,-495.67,-1883.06,-1769.7,92.6829268292683
DEPT OF ENVIRONMENT PROTECTION,COMPUTER SPECIALIST (SOFTWARE),81951,102136,2023-04-23T00:00:00.000000,2023-05-23T00:00:00.000000,30,126161.00,per Annum,121805.80,35144.34,7629.18,164579.32,100.0
DEPARTMENT OF TRANSPORTATION,BOB- Civil Engineer II,90667,125964,2024-12-11T00:00:00.000000,2025-01-10T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,Admin. Engineer M-II - Deputy Chief of Water & Sewer Planning,73068,142671,2024-12-23T00:00:00.000000,2025-01-22T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,56313,64760,2024-08-22T00:00:00.000000,2024-09-21T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Contract Processing & Registration, Office of the Agency Chief Contracting Officer",73419,110000,2025-07-30T00:00:00.000000,2026-07-30T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
ADMIN FOR CHILDREN'S SVCS,Placement Specialist,60428,92558,2025-08-06T00:00:00.000000,2025-09-05T00:00:00.000000,30,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
DEPT OF ENVIRONMENT PROTECTION,EHS Program Liaison,56313,64760,2024-08-07T00:00:00.000000,2024-09-06T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
BRONX DISTRICT ATTORNEY,Certified IT Developer (Application),115000,115000,2025-03-27T00:00:00.000000,2025-04-26T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
HOUSING PRESERVATION & DVLPMNT,Clerical Support for the Division of Code Enforcement (CODE LEAD),41887,48170,2023-08-24T00:00:00.000000,2023-09-23T00:00:00.000000,30,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
DEPT OF HEALTH/MENTAL HYGIENE,Tour Commander/Field Operations Manager,66066,132000,2025-02-12T00:00:00.000000,2025-03-14T00:00:00.000000,30,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,BOB- Director of Over-Dimensional Vehicle Permits,84018,123141,2025-01-07T00:00:00.000000,2025-02-06T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,"Division Chief, EHS Performance Improvement Support",81083,216270,2024-08-14T00:00:00.000000,2024-09-13T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Cyber Risk Analyst, Office of Chief Information Officer",75000,130000,2025-04-18T00:00:00.000000,2025-10-15T00:00:00.000000,180,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,QUALITY CONTROL CASE REVIEWER,57976,66672,2024-10-07T00:00:00.000000,2024-11-06T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
OFFICE OF THE MAYOR,Economic Development Director,80000,85000,2025-05-12T00:00:00.000000,2025-06-11T00:00:00.000000,30,258750.00,per Annum,257361.22,0.00,0.00,257361.22,100.0
HRA/DEPT OF SOCIAL SERVICES,NCA PERT CASE REVIEWER,57976,66672,2024-11-12T00:00:00.000000,2024-12-12T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,57866,70075,2025-03-28T00:00:00.000000,2025-04-27T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
CONSUMER AND WORKER PROTECTION,Staff Counsel - 693142,73476,84498,2025-06-12T00:00:00.000000,2025-09-10T00:00:00.000000,90,193743.00,per Annum,0.00,0.00,13206.88,13206.88,88.23529411764706
DEPT OF HEALTH/MENTAL HYGIENE,Forensic Mortuary Technician I,47069,54129,2025-02-20T00:00:00.000000,2025-03-22T00:00:00.000000,30,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,64242,96395,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
BRONX DISTRICT ATTORNEY,Intelligence Analyst,70000,70000,2025-07-22T00:00:00.000000,2025-08-21T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Assistant Director of Data and Technical Assistance, Bureau of Alcohol and Drug Use Prevention, Care and Treatment",95070,109330,2025-01-06T00:00:00.000000,2026-01-06T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,TIMEKEEPING SUPERVISOR,68672,86804,2025-03-05T00:00:00.000000,2025-04-04T00:00:00.000000,30,68464.00,per Annum,2412.27,416.45,113.06,2941.7799999999997,100.0
NYC HOUSING AUTHORITY,CARETAKER X (HA),36006,50569,2025-07-30T00:00:00.000000,2025-08-19T00:00:00.000000,20,36006.00,per Annum,32868.40,16692.07,5778.47,55338.94,100.0
DISTRICT ATTORNEY-MANHATTAN,Labor Relations Associate,66000,73000,2025-07-16T00:00:00.000000,2025-08-15T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
HRA/DEPT OF SOCIAL SERVICES,QUALITY CONTROL CASE REVIEW SUPERVISOR,58695,67499,2023-12-13T00:00:00.000000,2024-01-12T00:00:00.000000,30,68464.00,per Annum,2412.27,416.45,113.06,2941.7799999999997,100.0
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,57866,70075,2024-12-23T00:00:00.000000,2025-01-22T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
HRA/DEPT OF SOCIAL SERVICES,UNIT CLERK,39763,45728,2023-09-13T00:00:00.000000,2023-10-13T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DISTRICT ATTORNEY-MANHATTAN,Records Clerk,40000,43037,2025-04-10T00:00:00.000000,2025-05-10T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DISTRICT ATTORNEY RICHMOND COU,Criminal Court Assistant,51000,53000,2025-05-09T00:00:00.000000,2025-06-08T00:00:00.000000,30,232600.00,per Annum,215006.34,0.00,1000.00,216006.34,100.0
DEPT OF ENVIRONMENT PROTECTION,PRINCIPAL ADMINISTRATIVE ASSOCIATE,66062,75971,2025-06-30T00:00:00.000000,2025-07-30T00:00:00.000000,30,59588.00,per Annum,60486.47,3550.70,3260.94,67298.11,100.0
DEPT OF HEALTH/MENTAL HYGIENE,Procurement Coordinator,68262,80000,2024-09-03T00:00:00.000000,2025-09-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF CORRECTION,"Associate Commissioner, Programs & Community Partnerships",185000,200000,2024-12-24T00:00:00.000000,2025-01-23T00:00:00.000000,30,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
DEPT OF ENVIRONMENT PROTECTION,Civil Engineer,101230,122295,2024-04-29T00:00:00.000000,2024-05-29T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
BRONX DISTRICT ATTORNEY,Trial Preparation Assistant III - Grand Jury Unit,72572,72572,2025-05-21T00:00:00.000000,2025-11-19T00:00:00.000000,182,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,57866,70075,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,101423,137501,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,CAS REGIONAL/ADMINISTRATIVE OFFICE LIAISON,73213,84195,2023-12-19T00:00:00.000000,2024-01-18T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,64242,96395,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Adviser, Bureau of School Health",24.1,27.71,2025-05-29T00:00:00.000000,2026-05-29T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Operations Associate, Bureau of Childcare",45040,51796,2025-03-21T00:00:00.000000,2026-03-21T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,Pre-IFSP Specialist,53370,61376,2025-06-20T00:00:00.000000,2025-10-18T00:00:00.000000,120,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
